bn,en
স্কোয়াড্রন,squadron
কখনই,kokhonoi
রেখেনি,rakheni
প্রভাব,prostab
চর্চিত,chorchito
সূর্যকুমার,surjyokumar
মেডিসিনে,medicine-e
ব্রুক,brooke
বুটক্যাম্পের,bootcamp-er
রাউন্ডে,round-e
সামবডি,sombody
দ্যাট,that
ইউসড,used
টু,to
নো,know
বক্তৃতার,boktritar
ধরেই,dhorei
জেমস,kames
ডিউয়ার-এর,dewer-er
জগদীশচন্দ্রের,jagadishchandrer
বাঙালিরা,bangalira
উল,ul
মুলক,mulak
যে‍‍‍‍মন,jemon
অন‍্যদের,onnyoder
দেয় ।‌‌,dey
প্রবাসী,probashi
পাত্র/কন্যা,patro/konya
খোঁজ,khoj
অপরপক্ষ,oporpokkho
অনেকসময়,onekshomoy
বলপূর্বক,balpurbok
যাতায়াতকৃত,jatayatkrito
অতিক্রম,otikram
ইংরেজী,ingreji
Story,story
সম্পর্কযুক্ত,shomporkojukto
সমন্বিত,shomonwito
অন্ত্য,ontyo
প্লাইস্টোসিন,plystosine
উদ্ভূত,udbhuto
অভিব্যক্তি,obhibyokti
অসৎ,oshoth
প্রসার,proshar
গঠনে,gothone
উল্লেখযোগ্য,ullekhjoggyo
ভেলাস্কেজ,velasquez
পলিগ্রাম,polygram
রেকর্ডসের,records-er
লিসেন,listen
উইথআউট,without
"প্রিজাস্টিস""-এর","prejudice""-er"
এশীয়,asio
প্রদর্শনীর,prodorshonir
৩১.৮৯৪,31.894
বৃহত্তম,brihottom
এঞ্জেলেসে,angeles-e
রেলগাড়ী,railgari
স্বল্পসংখ্যায়,sholposhonkhyar
সাইকেল,cycle
ভরণপোষণ,bharanposhan
ব্যবসাসফল,byabshaphal
ছবিও,chobio
দীক্ষাভূমি,dikkhabhumi
সৌধ,shoudho
বাবাসাহেব,babasaheb
আম্বেডকর,ambedkar
সহস্রাধিক,sahasradhik
দীক্ষিত,dikkhito
ওয়াজ,owaz
বাবুল,babul
কৃষ্ণবিবর,krishnobibar
শূন্যস্থান,shunyosthan
আলোড়ন,aloron
যেওক,jeok
চাইনিজ,chinese
খেলোয়াড়ের,kheloyarder
অধিকাংশই,odhikangshoi
ব্যক্তিত্ব,byektitto
দক্ষতা,dokkhota
সদস্যপদ,shadashyapad
রাভ,labh
ইমিউন,immune
প্রোটিনের,proteiner
ওমস্তিষ্কের,o mostishker
টিস্যুর,tissue-r
ক্রসরিয়াকশন,cross reaction
আর্মির,army-r
ইমার্জেন্সি,emergency
কমিশনে,commission-e
লে্ফট্ন্যান্ট,liutenant
মধ্যপ্রাচ্যে,moddhyoprachyo
কোম্পানির,company'r
ভাগ্যনির্ধারণী,bhagyonirdhari
কেমিস্ট্রির,chemistry-r
ডিকশনারী,dictionary
দেবনাগরী,debnagari
লিপিতে,lipi-te
ব্যাকরন,byakoron
ম্যাক্স,max
মুলারের,mullerer
ওয়েস্টমিনস্টারের,westminsterer
রিপোর্ট(১৬৫৮,report (1658
রিপোর্ট(১৬৪৯,report (1649
চার্টার,charter
প্রচারপত্র(১৮১২,procharpotro (1812
সাধারন,shadharon
নির্দেশাবলী,nirdeshaboli
রিপোর্ট(১৮৩৯,report (1839
অমুল্য,omulyo
লাইব্রেরীতে,library-te
মারীচ,mareech
মায়াবী,mayabi
রাক্ষস,rakkhosh
লোকসংস্কৃতি,lokosongskriti
নিখিলবঙ্গ,nikhilbanga
সাহিত্য-সম্মেলন,sahityo-shommelon
সম্মেলনে,shommelone
নিন্মলিখিত,nimnolikhito
করেঃ,kore
দেবেন,deben
তাইপেই,taipei
পছন্দনীয়,pochondoniyo
ঘরোয়া,gharowa
অবহিত,obohito
পড়ানোর,poranor
প্রতিবছর,protibachor
সিম্পজিয়াম,symposium
তাং,tang
চাং'আন,chang-an
জিয়ান,jian
জনবহুল,janabohul
আশুগঞ্জ,ashuganj
গুদাম,gudaam
সাইলো,silo
বর্ণনানুযায়ী,bornononujayi
যিশুর,jishur
প্রত্যাবর্তনের,protyabortoner
দিবস,dibosh
গম্বুজটি,gombujti
কোণের,koner
স্কুইঞ্চের,squincher
ভিসিএতে,vsa-te
মেলবোর্নের,melbourne-er
ভিক্টোরীয়,victoria-r
অধিনায়ক,odhinayok
ওয়াং,wang
ইউয়ান,yuan
হং,hong
সদস্যদের,shadashyader
মিশন,mission
রিলে,relay
সম্ভান্য,shombhanyo
সংক্ষিপ্ত,shonkhipto
বিসমুথাইড,bismuthide
বিসমাথ,bismuth
আন্তধাতব,antodhatob
জীবভূগোল,jibonbhugol
অনুসারে,onushare
নীলশির,niloshir
প্রজাতিগুলোর,projatigulor
মহাসাগরীয়,mohashagoriyo
ফেব্রুয়ারিতে,february-te
ভোগ,vogue
ম্যাগাজিনের,magaziner
প্রচ্ছদে,procchode
শেষদিকে,sheshdike
ফুলে,phule
ব্যথা,byetha
২.অষ্টগ্রাম,2.ashtagram
সাম্প্রতিক,shamprotik
ব্যাটল,battle
সেক্সেস,sexes
উইশ,wish
সুমাত্রায়,sumatray
টোবা,douba
জ্বালামুখ,jwalamukh
অপরের,oporer
সুমাত্রীয়,sumatriyo
আগ্নেয়,agneyo
দিনরাত,dinraat
মগ্ন,mogno
সদ্য,shodyo
যৌবনে,joubone
পদার্পণকারী,podarponkari
পাননা,panna
আনোয়ারুল,anowarul
উলুম,ulum
ইসলামিয়া,islamiya
আরবের,arab-er
অস্ত্রচুক্তি,astrachukti
পড়াশোনাকালীন,porashonakalin
সময়েই,shomoyei
শামিসুন,shamisun
নেসা’র,nessa'r
ক্রিকেটসহ,cricketshaho
মাঠ,maath
কালে,kaale
আস্তানাকে,astanake
পাট,paat
বসতে,boshte
বর-কাকতী,bor-kakoti
ভিনা,veena
প্রতিকূল,protikul
উজবেকদের,uzbek-der
বিক্ষিপ্ত,bikkhipto
প্রতিরোধের,protirodher
মুঘলরা,mughalra
মন্ত্রণালয়,montraloy
হত্যাকাণ্ডকে,hotyakande
দুর্বৃত্তের,durbritter
১৯৭৭,1977
অর্গানাইজিং,organizing
সিপিয়াই,cpi
জনযুদ্ধ,janajuddho
দক্ষিণপূর্বে,dokkhinpurbe
আরামবাগ,aarambag
কুমারগঞ্জের,kumarganjer
হুগলি,hoogly
প্রতিষ্ঠানগুলি,protishthanguli
মধ্যযুগীয়,modhyojugio
বিশ্ববিদ্যালয়গুলির,bishwobidyaloygulir
অগ্রদূত,agradoot
ছাত্রদেরকে,chatroderke
অনুসরণ,onushoron
মাণিক্য,manikyo
হয়েও,hoyeo
ধর্মকে,dharmoke
ভালোবাসতন,bhalobashten
পরিমেয়,porimeyo
পরিমিতিগুলো,porimitigulo
পথহারা,pathhara
জেইন,jane
অ্যান,and
ক্রেনজ,krenj
সুইট,sweet
স্টারফায়ার-এ,starfire-e
ভবিষ্যকল্প,bhobishyokolpo
সংগৃহিত,shongrohito
নিছক,nichok
গৃহসজ্জার,grihoshojjar
অঙ্কন,ankan
কাঁথার,kathar
অলংকরণে,alankarane
রাধা-কৃষ্ণের,radha-krishner
গোপীরা,gopira
বিবস্ত্র,bibostro
অর্ধ্বউলঙ্গ,ardhaulongo
চিত্রীত,chitrito
লরন্স,laurence
অলিভিয়ে,olivier
স্যাটার্ন,saturn
ড্রামা,drama
ডেস্ক,desk
ক্রিটিকস,critrics
চয়েস,choice
প্রাপক,prapok
কনেপক্ষ,konepokkho
পেছনের,pechoner
৪.৬৩,4.63
১৫.২,1.52
মৈত্রেয়,moitreyo
বোধিসত্ত্বের,bodhishottwer
গৌরিপুর,gouripur
সোঁদরবনে,sundarbane
ফোর্সের,forcer
রেজিমেন্টের,regimenter
ব্রাভো,bravo
৬৩২,632
বকর,bakkar
নেতৃত্ব,netrittwo
খলিফা,kholifa
শিশুই,shishui
মুখের,mukher
আদল,adol
আঁকতে,ankte
অতিথিশালায়,otithishalay
ডাওকি,dawki
জিএনএ'র,gna'er
আর্মেনীয়দের,armeniyoder
প্যাটেটিক,patetic
সার্টিফিকেট,certificate
রবি,robi
লিথোগ্রাফিতে,lithography-te
কার্বি,karbi
আংলং,anglong
স্বায়ত্বশাসিত,shayottoshashito
গুয়াহাটী,guwahati
ডিফু,diphu
হোজাই,hojai
সংযোগ,shongjog
তখনকার,tokhonkar
নিখুত,nikhut
আধ্যাতিকতার,adhyatikotar
নির্যাসে,nirjashe
রঞ্জিত,ronjito
কেন্ডাসারা,kendashara
দেশপ্রেমের,deshpremer
ছাড়ো,charo
শিরোনাম,shironam
প্লাস,plus
প্রতিদন্দিতা,protidwondita
কন্টিনেন্টাল,continental
নিবন্ধন,nibondhon
শ্যামল,shalom
স্ত্রীকে,streeke
আসার,ashar
চৌদ্দ,chouddo
হোল্ডার,holder
ধূমপান,dhumpaan
হেলেন,helen
প্রশাসনে,proshashone
সাধন,shadhon
অবশিষ্টগুলো,oboshishtogulo
আয়েশা,ayesha
তাকিয়া,takia
৬৩,63
২৭৮,278
উইকেটের,wicketer
এন্টারটেইনমেন্ট,entertainment
খোঁজার,khojar
ফেম,fame
গুরুকুল,gurukul
নূন্যতম,nyunotamo
প্রতিপক্ষীয়,protipokkhiyo
ব্যাটসম্যানেরা,batsman-era
বেইটসন,baitson
পানেট,panet
দঐহিক,doihik
জিনগতভাবে,gene-gotobhabe
কামাল,kalam
অসহযোগ,oshohojog
সমর্থনে,shomorthone
সারভেন্ট,servant
প্রকাশে,prokashe
সাপ্তাহিক,shhaptahik
মুসলমান,musalman
তরুণদের,torunder
সাংবাদিকতায়,shangbadikotay
সত্য,shotyo
মধ্যাঞ্চলের,modhyancholer
মর্যাদাপূর্ণ,morjadapurno
ট্রেনগুলির,traingulir
মুম্বই-পুণে,mumbai-pune
প্রবাসি,probashi
সমর্থন,shomorthon
অ্যালিস,alice
টাকার,tucker
জন্মনাম,jonmonaam
ল্যান্ডস্কেপ,landscape
চিত্রশিল্পী,chitroshilpi
এমসিজিতে,mcgte
বস্তা,bosta
জহিরুদ্দিন,zahiruddin
স্বনামধন্য,shonamdhonyo
১৯০২,1902
সমিতি,shomiti
উন্নয়নী,unnoyoni
সভার,shobhar
শহরকে,shohorke
ফাঁসি,phasir
দর্শকদের,dorshokder
বারুদের,baruder
ধোঁয়ায়,dhoway
রোমানেরাই,romanerai
অঞ্চলটিকে,oncholtike
সত্যিকারের,shotyikarer
কিন্তু,kinty
ছবিটিকে,chobitike
অপচয়,opochoy
তারখে,tarikhe
স্টিফেন্স,stephens
প্রেসবাইটেরিয়া,presbyteria
চার্চে,church-e
মাবেল,mable
শার্লত,sharlot
ক্যাটস,cats
পাণিগ্রহণ,panigrahan
নিষেধাজ্ঞার,nishedhagyar
সভেরিংস,soverings
টিভি৪,tv8
ভ্যাস্টারবটেনস-কুরিরেন,vasterbotens-kuriren
কিঃমিঃ,km
মানভূমে,manbhume
১৯১২,1912
প্রত্যাকটি,protyekti
বাদামি,badami
জলপাই,jolpai
পার্টনারশিপ,partnership
মডেলে,modele
সিদ্ধান্তও,shiddhanto-o
বেজাইয়া,bejaiya
ফিবোনাচ্চি,fibonacci
গমনের,gomoner
জসীমউদ্দীন,jasimuddin
বানিয়াচংয়ে,baniyachonge
পরিদর্শনে,poridorshon
নয়নাভিরাম,noyonabhiram
সাগরদীঘির,shagordighir
সৌন্দর্য্যে,shoundorjye
কমলাবতীর,komolabotir
সূচয়ণী,shuchoyoni
কাব্যগ্রন্থের,kabyogronthe
ফিরতে,phirte
সন্ধ্যা,shondhya
হওয়াতে,howate
পিটিয়েছিলেন,pitiyechilen
হিসেব,hishebe
কিমিয়াবিদ্যা|কিমিয়াবিদরা,kimibidya. kimiyabidra
গবেষণাও,gobeshonao
শিলান্যাস,shilanyash
প্রেমিক-প্রেমিকাকে,premik-premikake
শত্রুতা,shotruta
পারছেননা,parchenna
"সমাজসেবক,প্রতিষ্ঠাতা","shomajshebok, protishthata"
কন্যাদের,konyader
শাফা,shafa
খালেদা,khaleda
যঈফা,joifa
রোকাইয়া,rokaiya
যিন্নাত,jinnat
বর্তমানে,bortoman
করাল,koral
গ্রাসে,grashe
প্রশস্ততা,porshostota
কমেছে,komeche
আদ-দিন,ad-din
শারাহমুলে,sharahmule
চাঁদের,chander
ঘুর্ণায়মান,ghurnaymaan
লাটিমকে,latimke
অতিথি,otithi
নান্দীকার,nandikar
আফগান,afghan
মথুরাসহ,mathurashoho
হিন্দু-মুসলিম,hindu-muslim
নির্বিশেষে,nirbisheshe
বহুসংখ্যক,bohushonkhyak
নিরাময়কারী,niramoykari
কমিটিতে,committeete
১৯৭৩,1970
বাংলাদেশ,bangladeshe
উদাহারণ,udahoron
সেন্নিডিনস্,sennidines
রেডিন,redin
ডাইএন্থ্রন,dienthron
১৪৯১,1941
খ্রিষ্টাব্দেঙ্গাগ-গি-দ্বাং-পোর,christabde ngag-gi-dbang-por
রিং-স্পুংস-পার,ring-sprungs-par
কুন-তু-ব্জাং-পোর,kun-tu-bjang-por
ভ্রাতা,bhrata
গ্ত্সো-স্ক্যেস-র্দো-র্জে,gtso-skes-rdo-rje
উত্তরাধিকারী,uttoradhikari
নাবালকত্বের,nabalokotwer
অভিভাবক,obhibhabok
অতীত,otit
কেনেথ,kenneth
উইলসন,wilson
পদার্থবিজ্ঞানে,podarthobigyaner
অবধি,obdhi
পড়েছিল৷,porechilo
ভীষণ,bhishon
ফাউন্ডেশনে,foundation-e
কোমায়,coma-y
মধ্যরাতে,modhyoraate
ডাক্তাররা,doctorra
আজিমপুর,azimpur
কবরস্থানে,kabarsthane
দাফন,dafan
পুনর্ব্যক্ত,punorbyokto
সংখ্যালঘু,shonkhyaloghu
সম্প্রদায়,somporday
রাষ্ট্রপালা,rashtropala
সচল,shachal
সজীব,shajib
চেতন,cheton
ওয়ালমার্ট,walmart
সমালোচকরা,shomalochokra
কোম্পানিটির,companytir
অনিরাপদ,onirapod
প্রচেষ্টাগুলি,procheshtaguli
মশাই,moshai
রামতনু,ramtonu
লাহিড়ীর,lahirir
লিখবেন,likhben
এলবামটির,albumer
ইতিমধ্যে,itimoddhye
বিতরণের,bitoroner
কামরাঙায়,kamrangar
অ্যান্টিঅক্সিডেন্টস,antioxidants
অর্জনের,arjaner
মিলানে,milan-e
দ্বিখণ্ডিত,dwikhondito
ইচকেরিয়া,ichkeriya
চেচনিয়া,chechnia
অপসওয়াট,opswat
সংখ্যার,shonkhyar
ব্যাকআপ,backup
মার্কেটের,marketer
লাইব্রেরীটির,library-tir
ব্যাবস্থাপক,byabosthapok
আকর্ষন,akorshon
ব্যার্থ,byartho
সামলানোর,shamlanor
চীনকে,chinke
সাম্যবাদী,shamyobadi
লয়ালিস্টদেরকে,loyalistderke
মার্ক্সবাদ,marxbaad
স্বার্থে,sharthe
সুকোমলসহ,shukomalshoho
শহীদদের,shohidder
মৃতদেহ,mritodeho
শিলচরে,silchare
শোকমিছিল,shokmichil
শেষকৃত্য,sheshkrityo
শ্মশানে,shoshane
প্রবেশপথের,probeshpother
সরদলে,shardale
দেওয়ালগুলিতে,dewalgulite
দ্বারপালের,dwarpaler
পুরাতত্ত্ব,puratotto
নেতৃত্বে,nretitte
একদল,akdal
পুরাত্ত্বিক,puratatwik
মোগলমারিতে,mogolmarite
খননকার্য,khanankarjo
দুবার,dubar
দাঁত,daant
মাজি,maji
সকাল,shokal
পাখীরা,pakhira
গুটেনবার্গ,gutenburg
হোসেনের,hosseiner
কমিটির,committee-r
তত্ত্বাবধানে,tottabodhane
উপজেলাটির,upojelatir
বাগেরহাট,bagerhat
রামপাল,rampal
মোল্লাহাট,mollahat
আত্মপক্ষ,atmopokkho
সমর্থনের,shomorthoner
বক্তব্যগুলি,boktobyoguli
আঠারো,atharo
শতক,shatak
মেজরস্টিউয়েনে,majorstuen-e
হোম্বেস,holmboes
বার্ন্ট,bernt
হোম্বের,holmboer
ব্রাহ্মণী,brahmoni
ডানতীরের,dantirer
কালিন্দী,kalindi
জলবাহী,jolbahi
ইঞ্জিনিয়ারিংয়ে,engineering-e
সুষ্ঠ,shyshtho
সঞ্চয়,shonchoy
পরিবহন,poribphon
ট্রপিক,tropic
থান্ডার,thunder
বিদ্রুপাত্মক,bidrupatmok
অ্যাকশন-কমেডিধর্মী,action-comedy-dharmi
বেন,ben
স্টিলার,stiller
প্রযোজিত,projojito
জনসংখ্যা,janashonkhya
মোঙ্গলীয়া,mongoliyo
লোয়া,loya
জনসংখ্যার,janashonkhyar
৬৪,64
অন্তত,ontoto
রইস,rais
মজুমদারকে,mazumdarke
ফাঁকি,phanki
কুষাণরা,kushanra
মঙ্গোল,mongol
তিব্বতের,tibbeter
প্রশাসক,proshashok
লামাদের,lama-der
তিব্বত,tibbet
স্বায়ত্তশাসন,shayottoshashon
ব্লাউজের,blouse-er
অধুনা,odhuna
কামিজ,kamiz
ব্লাউজ,blouse
কন্ট্রাস্ট,contrast
আসলে,ashole
প্রতিকী,protiki
গভর্নরদের,governor-der
সেচ্ছাধীন,shecchadhin
গণিতবিদ্‌,ganitbid
মাধব,madhob
চতুর্দশ,choturdash
ফাংশনের,function-er
অনন্ত,ononto
সম্প্রসারণ,shomprosharon
টেইলর,taylor
সভায়,shobhay
কর্মজীবনের,kormojiboner
বেক্সিমকো,beximco
ফার্মাসিউটিক্যালসে,pharmaceuticals-e
প্রধানশিক্ষক,prodhanshikkhok
বাশার,bashar
উইন্ডওয়ার্ড,windward
আইল্যান্ডের,island-er
লিস্ট,list
ক্রিকেটেও,cricket-eo
কাচিন,kachin
জনগোষ্ঠীর,jonogoshthir
ইউনান,yunan
প্রদেশেও,prodesheo
রকস্ট্রাটা,rockstrata
কার,kar
মেটাল,metal
সংযোজিত,shongjojito
বিভাগগুলি,bibhaguli
ইনফাইনাইট,infinite
করিডোর,corridor
দরদালান,dordalan
সংযুক্ত,shongjukto
অব্যবহিত,obyobohito
ফয়সাল,foysal
অবয়ব,oboyob
আত্মসন্তুষ্টির,atmoshontushtir
নিউইয়র্ক,newyork
প্রতিসংস্কৃতির,protisongskritir
কেন্দ্রবিন্দু,kendrobindu
পার্টি-ছাত্র,party-chatro
সংগঠক,shongothok
মৎস্য,motsyo
মনুকে,monuke
পূর্বসতর্ক,purboshotorko
শস্য,shoshyo
জীবসমূহকে,jibshomuhoke
ব্রহ্মার,bromhar
বরদানকে,bordanke
বিষ্ণুকে,bishnuke
খেলায়ও,khelao
প্রেস,press
নাইটওয়াচম্যান,nightwatchman
বেঞ্জামিন,benjamin
উইলসনের,wilsoner
১২৪,124
মল্লিকের,mallick-er
সুতোর,shutor
মেন,main
কর্ড,cord
জংশন,junction
দাতব্য,datobbyo
সংস্থাকে,shongsthake
ফরিদপুরে,faridpure
জলঙ্গী,jongi
বাহিত,bahito
পৌচ্ছায়,pouchay
মাস্টার,master
নরেন,naren
খাওয়াদাওয়া,khawadawa
আতশবাজি,atoshbaji
ফোটানোর,photanor
চলতো,cholto
পঞ্চগড়-২,panchagarh-2
সাংসদ,shangshod
খালিদ,khaled
উমাইয়া,umaiya
রাজপুত্র,rajputro
দেবীগৃহের,debigriher
দুয়ারে,duware
কালাপাহাড়,kalapahar
মতি,moti
ব্যর্থ,byortho
বৃদ্ধা,briddha
প্রতিবেশিনীদের,protibeshinider
প্ররোচনায়,prorochonay
পাগলাগুঁড়ো,pagolguro
খাওয়ান,khawan
বৈশাখ,boishakh
গান-বাজনা,gaan-bajna
রঙ্গালী,rongali
বংশগতির,bongshogotir
বৃহদ্রথকে,brihodrothke
জরাসন্ধ,jorashondho
জরাসন্ধের,jorashondher
স্থাপত্যিক,sthapotyik
বৈশিষ্ট,boishishto
খড়গের,khoroger
অনুমতি,onumanito
উভয়েই,ubhoyei
ইংরেজিকে,ingrejke
এভিস,evis
ব্যারির,barry-r
টুয়েলভ,twelve
গ্রিনউড,greenwood
আইনজীবি,ainjibi
মন্টি,monty
ল্যাংডন,langdon
সদস্যগণ,shadashyogon
অডিও,audio
সাক্ষ্যপ্রমাণকে,shakhyopromanke
সালমান,salman
গুপ্তহত্যার,guptohotyar
১৯৬৪-৬৫,1964-65
সিরিজকে,serieske
গ্লোরি,glory
শিরোনামীয়,shironamiyo
সাবালকত্য,shabalokotyo
নিম্নে,nimne
মাঝ,majh
সুন্দরভাবে,sundarbhabe
ব্যরলিং,barrelling
মাসকট,muscat
এলপেইথ,elpeith
রিড,reid
ফিশারের,fisher-er
রজনীকান্ত,rajanikanto
ভোলাখাল,bholakhal
ডকের,docker
কুলির,koolir
পরিশ্রমের,porisromer
শিক্ষাজীবন(৭,shikkhajibon (7
নেটওয়ার্কের,networker
সংযোগ,shonjog
প্রটোকল,protocol
ট্রান্সলেশনের,translation-er
আয়াক্স,azax
পালিয়েই,paliyei
বিপদে,bipode
চ্যাম্পিয়নদের,chanpionder
বরিস,boris
স্পাস্কি,spaski
প্রবীণতম,probinotom
তিমুর-মালয়েশিয়া,timur-malaysia
লেস্তে-মালয়েশিয়া,leste-malasia
সম্পর্ক,shomporkp
সম্পর্ককে,shomporkoke
রোমানরা,roman-ra
অঞ্চলকে,anchalke
অন্তরবভুক্ত,ontorbhukto
ঘটিত,ghotito
স্যাপার,shyapar
মিনেলি,mineli
ব্রাদার্স,brothers
টেন্ট,tent
রোন-আল্প,ron-alp
লংগ্‌দক-রুসিয়্যোঁ,longdok-russian
প্রো,pro
নোয়াহতে,noah-te
জিএইচসি,ghc
হেভিওয়েট,heavyweight
প্রো-রেসলিংয়ে,pro-wrestling-e
আইডাব্লিউজিপি,iwgp
কারি,curry
ম্যানের,man-er
শুয়া'বুল,shuabul
বোথামের,botham-er
কৌশলগত,kousholgoto
শহরটিকে,shohortike
পুনঃনির্মান,punornirman
শিক্ষাব্যবস্থার,shikkhabyabosthar
ডেওয়ে,dewe
৫৩,53
বেরিয়েছেন,beriyechen
গিরিয়ার,giriyar
১৭৪০,1740
মুর্শিদাবাদের,murshidabader
গিরিয়ায়,giriyay
নবাব,nobab
নায়েব,nayeb
নাযিম,nazim
সম্প্রতি,shomproti
গোলাম,ghulam
আসগর,asgar
সময়ই,shomoyei
সমাজবাদী,shomajbadi
সিংহের,singh-er
হাতাহাতিতে,hatahatite
কচুকাটা,kochukata
মৌজা/৯টি,mouza/9ti
স্বর্গের,shorger
পারিজাতের,parijater
কুরসীনামা,kursinaama
জিনতাও,jintao
পার্টির,parti-r
সচিব,shochib
গণপ্রজাতান্ত্রিক,gonoprojatantrik
সভাপতি,shobhapoti
শপথনামায়,shopothnamay
নেতাদের,netader
কর্তব্য,kortobyo
সজাগ,shojag
থাকবেন,thakben
পীতসাগর,peetshagor
পশ্চিমবঙ্গ,poschinbongo
ঊত্তর-পূর্ব,uttor-purbo
দায়িত্বপ্রাপ্ত,dayittoprapto
যাদেরকে,haderke
ঝুঁটিত্তয়ালা,jhutiwala
মাছরাঙা,machranga
পূর্বানুমূলক,purbanumulok
শনিবার,shonibaar
সংবাদপত্রটি,shongbadpotroti
জপধ্যান,jopdhyan
স্তবস্তুতি,stobstuti
ঐতিহাসিকভাবে,oitihaasikbhabe
চিন্তাকে,chintake
প্রাক-সোকাত্তিকদের,prak-shokattikder
হেলেনিক,helenic
থেলেস,theles
c,c
এরেবাস,erebus
নিকটে,nikote
ভূ-তাপীয়,bhu-tapiyo
সম্ভাব্যতা,shombhabyota
সমীক্ষা,shomikkha
দূষণ,dushon
বছরই,bachori
আর্বানা-শ্যাম্পেইন,aberna-chanpagne
ব্যবধানে,byobodhane
রিটার্ন,return
পরিবারকে,poribarke
অলিম্পিকসহ,olympic-shoho
পাঁচবারের,panchbarer
তাসত্ত্বেও,tashotteo
প্রায়শঃই,prayoshi
বিস্ময়করভাবে,bismoykorbhabe
ভীতসন্ত্রস্ত,bhitshontrosto
জান,jaan
নূর,nur
টিলাগড়,tilagarh
সিলেট-তামাবিল,sylhet-tamabil
পার্শ্বে,parshe
অনুকূলে,onukule
রাখলেও,rakhleo
২৮.৪০,28.40
গড়ে,gorhe
কিসি,kisi
প্রত্যান্ত,protyonto
অঞ্চলেও,onchole
প্রধান,prodan
ফ্লাইটগুলো,flightgulo
অবতরণ,obotoron
ট্রাফিক,traffic
পলির,polir
তলদেশ,taldesh
ক্রমশ,kromosho
প্রশস্ততা,proshostota
সংকুচিত,shonkuchito
হ্রাস,hrash
দামেস্কে,dameske
হাশিমী,hashiimi
বসানোর,boshanor
ফরাসিদেরকে,forashiderke
সুন্দরবন,sundarban
পাশ্চাত্যের,pashchatyer
রবিবারকে,robibarke
সপ্তাহের,shoptaher
ফিলিপাইনে,philipine-e
প্রীতিলতা,preetilata
ওয়াদ্দেদার,waddedar
ঐতিহ্যগত,oitijhyogoto
যায়,hoy
দ্বন্দ্ব,dwondo
সাংগীতিক,shangitik
তাস,tash
দেখলে,dekhle
স্বরাজ্যে,sworajye
স্বতন্ত্র,shotontro
ঈশ্বর-ভাবালুতা,isshor-bhabaluta
ভাবেন,bhaben
স্টেফি,steffi
গ্রাফের,graf-er
অংশটি,ongshoti
মধ্যযুগ,modhyojug
সহযোগীতা,shohojogita
শিক্ষাব্যবস্থাকে,shikkhabyabosthake
সাজাতে,shajate
হায়দার,haidar
ওয়ানের,one-er
ডিউটি-এর,duty-er
ডিসিআই,dci
দেশ-বিদেশে,desh-bideshe
বানিয়াচং-এর,baniyachong-er
সাগরদীঘি,shagordighi
কমলারাণীর,komolaranir
মনজুরুল,mojjorul
অকল্যান্ডের,auckland-er
ভ্রমণে,bhromonr
ক্যাসিনো,casino
কোটিপতি,kotipoti
স্ট্যানলি,stanley
হো,ho
হং-সান,hong-san
এতটাই,atotai
মাকাওতে,macau-te
ব্যবস্থাপকের,byabosthapoker
রেজিস্ট্রি,registry
রসগোল্লা,roshogolla
পশ্চিমবঙ্গকে,poschimbonge
স্থিতি,sthiti
মঞ্জুর,monjur
সিঙ্গালীলা,singaleela
প্রকাশনী,prokashoni
ভিন্নতর,bhinnotor
চেয়ারের,chair-er
অর্থডক্সি,orthodoxy
অর্থডক্স,orthodox
ক্রিশ্চিয়ান,christian
সংখ্যাই,shonkhyai
সৈনিকদেরকে,soinikderke
পোষাকে,poshake
নাহয়,nahoy
ফেরির,ferie
শতাংশের,shotangsher
তেরোর,teror
ক্রোনাস,cronas
সহোদর,shohodar
হেকাটনখেইর,hekatonkhei-r
সাইক্লপ্সদের,cyclops-der
টারটারাসে,tartaras-e
নিয়োজিত,niyojito
সাহসিকতাপূর্ণ,shahoshikotapurno
রাখায়,rakhay
গাজীকে,gazike
খেতাবে,khetabe
রাশেদুজ্জামান,rasheduzzaman
মিয়ানমারের,myanmarer
সংস্কারবাদী,shongskarbadi
প্রশাসনকে,proshashonke
লক্ষণ,lokkhon
প্রতিযোগীদের,protijogider
অন্যরা,onyora
ইউডিএইচআর-র,udhr-r
অনুচ্ছেদে,onucchede
নিষ্ঠুর,nishthur
অপমানজনক,opomanjonok
বাজারমূল্যও,bajarmulyo-o
বোপান্না,bopanna
করোনাল,coronal
তল,tal
"হয়,যা","hoy, ja"
corona,corona
"এসেছে,যার","esheche, jar"
পরিবহনের,poribohoner
দ্রুতগতির,drutogotir
র‍্যাপিড,rapid
কোষগুলির,koshgulir
দ্বিগুণ,dwigun
একক-দুর্ভিক্ষের,ekok-durbhikkher
প্রসারিত,prosharito
সিনেটর,senator
ম্যাকার্থির,mcarthy-r
সমাজতন্ত্রের,shomajtontrer
স্বতঃস্ফূর্ত,shotohsphurto
ঘটিয়েছে,ghotiyeche
হারগ্রিভস,hargreaves
অ্যালবের্টা,alberta
১৮৫০,1850
সৎ,shot
চাকরির,chakrir
বলে,bale
সোজা,shoja
অধ্যক্ষ,odhyokkho
সাপুড়েরা,saapurera
মন্ত্রসিদ্ধ,montroshiddho
ওয়ারা,owara
অনুষদ,onushad
সংঘর্ষ,shonghorsho
বহুকাল,bohukaal
দিব,dibo
কাজটি,kaajti
